author id,created_at,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
822616725795508224,2022-02-17 23:59:59+00:00,1494461658357501955,es,0,0,0,0,Twitter Web App,La comunidad internacional pide a grupos armados de Colombia un alto al fuego https://t.co/tMwJNob5HN
149239247,2022-02-17 23:59:58+00:00,1494461653362085888,es,1,0,0,1,Twitter Web App,La política en Colombia simplificada en un pequeño hilo. https://t.co/vMi9SGVLLZ
2754041260,2022-02-17 23:59:51+00:00,1494461624652111878,es,0,0,0,0,Wasi.co,"Venta Proyecto en centro de Cali, ""Ciudad Paraíso""(VM) en Cali/Valle del Cauca/Colombia en Vender https://t.co/mbXdCeAsoF"
1255628131765030914,2022-02-17 23:59:46+00:00,1494461603198251009,es,0,0,1,0,Twitter for Android,"@elbachi_ hora Colombia, hora México es a las 6

LLAMADA PERDIDA"
378671851,2022-02-17 23:59:45+00:00,1494461599557562376,es,31,0,1,0,Twitter Web App,"llevando 4 semanas en Colombia ya viví sin mesa, me robaron, me apuntaron con un arma, casi muero prendida fuego, perdí plata, me pelee con 500 viejos verdes y me mordió un perro. 
El próximo que me se enoje cuando le digo que una verga el viaje, lo mando a matar we"
1396818998268944388,2022-02-17 23:59:44+00:00,1494461595812048901,es,0,0,0,0,Twitter for iPhone,Despierta despierta pueblo querido de colombia 🇨🇴  https://t.co/f85WXBL9Py
1472622972905172993,2022-02-17 23:59:42+00:00,1494461586576183307,es,0,0,0,0,Twitter for Android,"Tiembla🥶 Pueblo Llego el salvador del Mundo""El Narco💉💊 Paraco🐀 Bobolongo ""Ivan Porky🐷Hace una fuerte advertencia a ""Rusia""que no aceptara  amenazas bélica a Ucrania. Sinvergüenza🐀 colocando cortinas de humo?Para distraer el desastre en el q tiene a su País Colombia 🇨🇴 https://t.co/B9UMddJ8qp"
113471158,2022-02-17 23:59:39+00:00,1494461571766095872,es,28,0,0,0,Twitter for iPhone,@Julianaramirez6 Ojalá le pongan una sanción $ como hicieron con Epa Colombia por dañar el transporte público.
725754905496006657,2022-02-17 23:59:38+00:00,1494461570553987075,es,0,0,0,0,Wasi.co,"Apartamento en Suba Lombardia, Bogotá D.C. en Bogotá D.C./Cundinamarca/Colombia en Venta https://t.co/eMFirT69cR"
1467224856420880384,2022-02-17 23:59:37+00:00,1494461565067837445,es,0,0,0,0,Twitter for Android,@CARLOSFMEJIA @AlvaroUribeVel Presidente Álvaro Uribe Vélez usted merece mucho en Colombia.
874405499449618433,2022-02-17 23:59:32+00:00,1494461542384947200,es,2,0,0,0,Twitter Web App,Venezuela incauta casi media tonelada de cocaína a una mafia del narcotráfico en Colombia que capta a funcionarios públicos - RT https://t.co/eMNCNsC92A
255190801,2022-02-17 23:59:27+00:00,1494461522688491525,es,0,0,0,0,Twitter for iPhone,Perdóneme don Mario pero claramente este no es el mejor gobierno. De lejos el@peor que yo recuerdo de Colombia y sin necesidad de comparar nada con nada. @fdbedout https://t.co/tGwjqPjDv6
1909912495,2022-02-17 23:59:25+00:00,1494461515902201860,es,2,0,1,1,Twitter for Android,Expresidente Andrés Pastrana también es citado por la Corte Suprema para declarar en el caso Piedad Córdoba - Infobae https://t.co/HicucU96ci
1250116963046694922,2022-02-17 23:59:24+00:00,1494461511791972354,es,0,0,0,0,Twitter for Android,Colombia es el país de la papa y ni papa podemos comer🤦🏾‍♀️🤡
2893988470,2022-02-17 23:59:24+00:00,1494461511334563842,es,0,0,0,0,Twitter for iPhone,@VickyDavilaH @PaolaHolguin Tinto gratis y de por vida para el mejor presidente que a tenido colombia 🇨🇴.
1029095507212333056,2022-02-17 23:59:23+00:00,1494461504632115200,es,65,1,0,18,Twitter for iPhone,"#EducaciónPolicial | Entregamos a #Colombia, 50 técnicos en Mantenimiento Aeronáutico. Policías que se formaron en este programa académico desde la Escuela de Aviación Policial, para fortalecer las capacidades de @PoliciaAntinar y contribuir a la seguridad y convivencia ciudadana https://t.co/3qyuG07vJ3"
1434291930,2022-02-17 23:59:22+00:00,1494461502212001794,es,0,0,0,0,Twitter for Android,"#SaqueLargoWIN por eso es que siempre andan diciendo que tal ó cual equipo son un fracaso porque tal o cual equipo gana 2 ó 3 partidos y ya son lo mejor de Colombia, claro que afortunadamente las cosas nunca van a ser como dicen los periodistas."
909890987245391872,2022-02-17 23:59:21+00:00,1494461499301056519,es,3,0,1,0,Twitter for Android,"Viva Colombia, viva falcao 🥳🥳 https://t.co/iHlOS4gl1G"
2938986250,2022-02-17 23:59:19+00:00,1494461488437903366,es,0,0,0,0,Twitter for iPhone,"@campoeliasjr adiero un comentario sobre los laterales por lo menos en Colombia, corren toda la banda para en alto porcentaje centrar mal….esto es de profesionales del fútbol?"
2306605482,2022-02-17 23:59:18+00:00,1494461485065465857,es,2,0,0,0,dlvr.it,Alfredo Morelos y Rangers humillan al Borussia Dortmund en Alemania - Marca Claro Colombia https://t.co/O4lqfKJDcw
865603596,2022-02-17 23:59:17+00:00,1494461482465210379,es,2,0,0,0,Twitter for Android,"Nunca en la cochina vida, pero es que en Colombia lo tienen tan normalizado, eso también es responsabilidad afectiva pero a nadie parece importarle 😪 https://t.co/9KQs3LX5TD"
