author id,created_at,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
488019360,2022-02-21 23:59:59+00:00,1495911208104382464,es,10,0,1,0,Twitter for Android,"@larepublica_pe Están decidiendo sobre el cuerpo de otras personas, no sobre el suyo. 

Supongo que el negocio de la muerte de IPPF se ha impuesto ante la vida en Colombia. Día triste para ese país."
25137502,2022-02-21 23:59:59+00:00,1495911207580147713,es,14,0,1,2,Twitter for Android,Colombia vive la dictadura de la cortes
874857199348183040,2022-02-21 23:59:58+00:00,1495911205080285185,es,1,0,1,0,Twitter for Android,#ÚLTIMAHORA  Noticia histórica para Colombia. Aborto libre hasta la semana 24. La @URUconstitucion con una votación de 5 contra 4  decide implementar un sistema mixto donde se podrá abortar sin restricciones hasta la semana 24
183117973,2022-02-21 23:59:58+00:00,1495911204287569923,es,38,0,0,0,Twitter Web App,"@FatPandora Claro, es que como en Colombia todes les niñes van a vivir amados, deseados y no como Yuliana o la jovencita migrante que despedazaron allá en Pereira, ¿no cierto?"
1275057657997475842,2022-02-21 23:59:57+00:00,1495911200797954049,es,0,0,0,0,Twitter for Android,"@USEmbassyBogota para cuando la solicitud de extradición del máximo narco de Colombia, el narco 82 o alias MATARIFE? https://t.co/EHCqptPJ1S"
1490696934507565061,2022-02-21 23:59:57+00:00,1495911199057362945,es,0,0,0,0,Twitter for iPhone,"artista: changbin
cosa: candado
país/ciudad: colombia
fruta/verdura: cereza

i.n cántame al oído te lo ruego 스트레이 키즈 아이엔 #I_N #아이엔 #스트레이키즈아이엔 #アイエン  @Stray_Kids https://t.co/40O48tSVif"
1491565836544446469,2022-02-21 23:59:56+00:00,1495911194326183938,es,1,0,0,0,Twitter Web App,Si no fuese por Twitter ni me enteraba que el aborto era legal en Colombia. Que lindo ver como se está haciendo legal en más países 💚.
475573483,2022-02-21 23:59:55+00:00,1495911193931825153,es,0,0,1,0,Twitter Web App,"@GiovannyMeja6 Mientras acojan los derechos humanos eso aquí en Colombia no sucederá y por otra parte las leyes colombianas siempre han favorecido al de mas estrato, Karen y el combo embolataron 70 mil millones y hoy enjuiciaron a una señora por robar arroz por necesidad"
180928184,2022-02-21 23:59:54+00:00,1495911188881936386,es,23,0,1,5,Twitter for Android,"En una hora nos escuchamos en el Space:  ""Se llamaba Sarai, una conversación sobre por qué no cesan los feminicidios en Colombia"" https://t.co/HbC1mTFw2a"
1130889394070740992,2022-02-21 23:59:54+00:00,1495911188537958402,es,0,0,0,0,Twitter for Android,"@VickyDavilaH Hitler fue un feto de seis meses y llegó al mundo...
En Colombia tenemos fetos que llegaron a buen termino como Garavito, Tiro Fijo, Escobar etc... No digo que tuvieran malas madres pero si creo que no crecieron en las mejores condiciones y ojalá hubieran sido abortos."
451823425,2022-02-21 23:59:54+00:00,1495911187837505537,es,4,0,0,0,Twitter for iPhone,EL ABORTO LEGAL EN COLOMBIA ES LEY 💚
958549842179100673,2022-02-21 23:59:53+00:00,1495911185136472068,es,2,1,0,1,Twitter Web App,"#EsLey | La Corte Constitucional de Colombia retiró del código penal el aborto hasta las 24 semanas, por cinco votos a favor y cuatro en contra. Cada año, un promedio de 400 mujeres eran criminalizadas en este país con penas de 16 a los 54 meses de cárcel. ¿Qué opinas? https://t.co/UwnxqXd0NH"
1275959885646233602,2022-02-21 23:59:53+00:00,1495911184805109760,es,0,0,0,0,Twitter for Android,Bravooooooo !!! Esto es un logro grandísimo en Colombia ! https://t.co/fRTnSdEGoD
611161606,2022-02-21 23:59:53+00:00,1495911184398270464,es,2,0,0,0,Twitter for iPhone,PANAAAAA HPTAA ESCÚPANME EN COLOMBIA AHORA MISMO https://t.co/CXOJGTOxE9
1170799326039281667,2022-02-21 23:59:51+00:00,1495911174453571584,es,0,0,0,0,Twitter for Android,"@Adrianr74453243 @Jeisontwt @johnclaro Cual es la realidad, que en Colombia venden el voto a ladrones y esperan que los gobiernen gente honesta."
1358096974881447937,2022-02-21 23:59:49+00:00,1495911167721717762,es,0,0,0,0,Twitter for Android,@ivanalvarenga1 jajjajaja sería un abuso tener a los 2 mejores 10 de Colombia de los últimos años
811779278778105856,2022-02-21 23:59:49+00:00,1495911165649694723,es,2,0,0,0,Twitter for Android,"Un excelente momento para que el congreso que llegue sea quien reforme las políticas públicas en salud y educación sexual y reproductiva,la corte suprema ratifica que Colombia está dejando atrás esas políticas coloniales de antaño, se renuevan las leyes renovemos el congreso."
1195567496444760064,2022-02-21 23:59:48+00:00,1495911161254010881,es,8,0,0,0,Twitter for Android,Colombia despenalizó el aborto hasta la semana 24 mk esto es increíble 💚💚💚💚💚💚💚💚💜💜💜💜💜💜
1251537088442437637,2022-02-21 23:59:47+00:00,1495911159588962323,es,0,0,0,0,Twitter for Android,"Esoooo, que bien por Colombia 💚 https://t.co/RI7Tngsyl8"
